Code,SMILES
Lit-LAr-1,[H]C1N(C2=C(C)C=C(C)C=C2C)C=CN1C3=C(C)C=C(C)C=C3C
Lit-LBr-1,[H]/N=C(N(C)C)/N(C)C
Lit-BB-1,CC4(C)C5=C(C([H])=CC(C)=C5)N(C)C6=C4C=C(C)C=C6[H]
Lit-BB-2,[H]/C([H])=C/C(C)(C)C
Lit-LBr-2,c1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1
Lit-BB-3,FC1=CC2=C(B1[H])c1ncccc1/C=C\C=C/2
Lit-BB-4,[H]B1C=CC2=C1c1ncccc1/C=C\C=C/2
Lit-BB-5,FC1(F)B([H])C2=C(/C=C\C=C/c3cccnc32)C1
Lit-BB-6,FC1B([H])C2=C(C=C/C=C\c3cccnc32)C1
Lit-LAr-2,[H]B1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1
Lit-LAr-3,[H]B1C(c2c(F)c(F)c(F)c(F)c2F)=C(c2c(F)c(F)c(F)c(F)c2F)C(c2c(F)c(F)c(F)c(F)c2F)=C1c1c(F)c(F)c(F)c(F)c1F
Lit-Ar-4,[H]B1C(c2ccccc2)=C1c1ccccc1
Lit-BB-7,[H]B1CCC2=C1c1ncccc1/C=C\C=C/2
Lit-BB-8,[H]B1C=CNC2=C1c1ncccc1/C=C\C=C/2
Lit-BB-9,B([H])([H])Oc1cccc(C(C)(C)C)n1
Lit-LAr-5,[H]B1Oc2ccccc2O1
Lit-LAr-6,[H]B(OC)OC
Lit-LAr-7,[H]B1OCC(C)(C)CO1
Lit-LAr-8,[H]B1OC(C)(C)C(C)(C)O1
Lit-LBr-3,[H]c1c(-c2c(C(C)C)cccc2C(C)C)cccc1-c1c(C(C)C)cccc1C(C)C
Lit-BB-10,[H]c1cccc2c1-c1c([H])cccc1-2
